ID,Name,Prefecture ID,Created At,Updated At
47,兵庫県-神戸市,28,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
48,兵庫県-市部,28,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
49,奈良県-市部,29,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
50,和歌山県-市部,30,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
51,鳥取県-市部,31,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
52,島根県-市部,32,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
53,岡山県-岡山市,33,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
54,岡山県-市部,33,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
55,広島県-広島市,34,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
56,広島県-市部,34,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
57,山口県-市部,35,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
58,徳島県-市部,36,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
59,香川県-市部,37,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
60,愛媛県-市部,38,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
61,高知県-市部,39,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
62,福岡県-北九州市,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
63,福岡県-福岡市,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
64,福岡県-市部,40,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
65,佐賀県-市部,41,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
66,長崎県-市部,42,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
67,熊本県-熊本市,43,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
68,熊本県-市部,43,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
69,大分県-市部,44,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
70,宮崎県-市部,45,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
71,鹿児島県-市部,46,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
72,沖縄県-市部,47,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM"
